Date,Open,High,Low,Close,Adj Close,Volume
2019-06-07,43.099998,50.000000,43.099998,45.500000,45.500000,6779384
2019-06-10,46.900002,48.250000,40.950001,40.950001,40.950001,2236241
2019-06-11,36.900002,36.900002,36.900002,36.900002,36.900002,171164
2019-06-12,33.250000,33.250000,33.250000,33.250000,33.250000,144662
2019-06-13,31.600000,31.600000,31.600000,31.600000,31.600000,34882
2019-06-14,30.049999,30.049999,30.049999,30.049999,30.049999,41686
2019-06-17,28.549999,28.549999,28.549999,28.549999,28.549999,99738
2019-06-18,27.150000,27.150000,27.150000,27.150000,27.150000,70460
2019-06-19,25.799999,25.799999,25.799999,25.799999,25.799999,37233
2019-06-20,24.549999,24.549999,24.549999,24.549999,24.549999,24003
2019-06-21,23.350000,23.350000,23.350000,23.350000,23.350000,177378
2019-06-24,22.200001,22.200001,22.200001,22.200001,22.200001,86226
2019-06-25,21.100000,21.100000,21.100000,21.100000,21.100000,67068
2019-06-26,20.049999,20.049999,20.049999,20.049999,20.049999,140461
2019-06-27,19.049999,19.049999,19.049999,19.049999,19.049999,232819
2019-06-28,18.100000,18.100000,18.100000,18.100000,18.100000,151485
2019-07-01,17.200001,18.299999,17.200001,17.200001,17.200001,14251776
2019-07-02,16.350000,18.049999,16.350000,18.049999,18.049999,19068106
2019-07-03,18.900000,18.950001,17.150000,17.150000,17.150000,19333504
2019-07-04,16.299999,17.450001,16.299999,16.299999,16.299999,6484628
2019-07-05,16.000000,16.100000,15.500000,15.500000,15.500000,3207439
2019-07-08,15.000000,16.200001,14.750000,15.900000,15.900000,6151191
2019-07-09,16.150000,16.650000,15.700000,16.400000,16.400000,7956006
2019-07-10,16.049999,16.299999,15.600000,15.600000,15.600000,1952950
2019-07-11,15.200000,15.300000,14.850000,15.000000,15.000000,3380191
2019-07-12,14.800000,15.750000,14.300000,15.750000,15.750000,3869506
2019-07-15,16.500000,16.500000,16.000000,16.500000,16.500000,1947843
2019-07-16,16.200001,16.400000,15.700000,15.750000,15.750000,2421945
